"Date","Price","Open","High","Low","Change %"
"Feb 14, 2008","107.94","108.30","108.62","107.74","-0.35%"
"Feb 13, 2008","108.32","107.32","108.39","106.97","0.93%"
"Feb 12, 2008","107.32","106.93","107.56","106.75","0.33%"
"Feb 11, 2008","106.97","107.32","107.66","106.32","-0.36%"
"Feb 08, 2008","107.36","107.48","107.74","107.14","-0.16%"
"Feb 07, 2008","107.53","106.65","107.84","105.89","1.00%"
"Feb 06, 2008","106.47","106.76","106.88","106.16","-0.31%"
"Feb 05, 2008","106.80","106.70","107.75","106.56","0.07%"
"Feb 04, 2008","106.72","106.51","107.10","106.49","0.09%"
"Feb 01, 2008","106.62","106.41","106.75","105.74","0.24%"
"Jan 31, 2008","106.36","106.26","106.89","105.69","-0.09%"
"Jan 30, 2008","106.46","107.08","107.48","106.30","-0.57%"
"Jan 29, 2008","107.07","106.90","107.25","106.36","0.18%"
"Jan 28, 2008","106.88","106.71","107.07","105.96","0.14%"
"Jan 25, 2008","106.73","107.17","107.91","106.71","-0.17%"
"Jan 24, 2008","106.91","106.77","107.03","105.91","0.22%"
"Jan 23, 2008","106.67","106.44","107.39","104.95","0.19%"
"Jan 22, 2008","106.47","105.93","107.05","105.60","0.41%"
"Jan 21, 2008","106.03","106.70","106.98","105.65","-0.69%"
"Jan 18, 2008","106.77","106.60","107.62","106.33","-0.03%"
"Jan 17, 2008","106.80","107.63","107.88","106.58","-0.62%"
"Jan 16, 2008","107.47","106.77","107.94","105.90","0.67%"
"Jan 15, 2008","106.75","108.19","108.36","106.58","-1.33%"
"Jan 14, 2008","108.19","108.66","108.97","107.35","-0.72%"
"Jan 11, 2008","108.98","109.31","109.73","108.61","-0.37%"
"Jan 10, 2008","109.39","110.01","110.14","109.08","-0.40%"
"Jan 09, 2008","109.83","108.90","109.96","108.78","0.82%"
"Jan 08, 2008","108.94","109.15","109.85","108.84","-0.24%"
"Jan 07, 2008","109.20","108.50","109.75","108.47","0.61%"
"Jan 04, 2008","108.54","109.30","109.61","107.86","-0.66%"
"Jan 03, 2008","109.26","109.57","109.78","108.22","-0.30%"
"Jan 02, 2008","109.59","111.63","112.06","109.20","-1.81%"
"Jan 01, 2008","111.61","111.69","111.75","111.25","0.23%"
"Dec 31, 2007","111.35","112.50","112.69","111.29","-1.07%"
"Dec 28, 2007","112.56","113.67","114.03","112.45","-1.02%"
"Dec 27, 2007","113.72","114.29","114.68","113.55","-0.52%"
"Dec 26, 2007","114.31","114.09","114.41","113.88","0.17%"
"Dec 25, 2007","114.12","114.30","114.34","113.88","-0.22%"
"Dec 24, 2007","114.37","114.09","114.50","113.96","0.18%"
"Dec 21, 2007","114.16","113.10","114.22","112.92","0.95%"
"Dec 20, 2007","113.09","113.39","113.46","112.77","-0.28%"
"Dec 19, 2007","113.41","113.35","113.53","112.73","0.03%"
"Dec 18, 2007","113.38","112.91","113.53","112.72","0.46%"
"Dec 17, 2007","112.86","113.47","113.50","112.81","-0.48%"
"Dec 14, 2007","113.41","112.18","113.61","112.15","1.06%"
"Dec 13, 2007","112.22","112.12","112.47","111.38","0.00%"
"Dec 12, 2007","112.22","110.63","112.47","110.60","1.46%"
"Dec 11, 2007","110.60","111.70","112.16","110.46","-0.93%"
"Dec 10, 2007","111.64","111.49","111.89","111.33","-0.03%"
"Dec 07, 2007","111.67","111.29","111.80","111.14","0.35%"
"Dec 06, 2007","111.28","110.88","111.47","110.60","0.31%"
"Dec 05, 2007","110.94","109.72","110.98","109.68","1.08%"
"Dec 04, 2007","109.75","110.46","110.56","109.54","-0.66%"
"Dec 03, 2007","110.48","111.01","111.06","110.12","-0.64%"
"Nov 30, 2007","111.19","109.91","111.25","109.63","1.21%"
"Nov 29, 2007","109.86","110.03","110.31","109.45","-0.27%"
"Nov 28, 2007","110.16","109.04","110.49","108.25","1.26%"
"Nov 27, 2007","108.79","107.39","108.90","107.25","1.38%"
"Nov 26, 2007","107.31","108.39","108.80","107.20","-0.95%"
"Nov 23, 2007","108.34","108.44","108.61","107.53","-0.18%"
"Nov 22, 2007","108.54","108.42","109.18","108.27","0.21%"
"Nov 21, 2007","108.31","109.92","110.03","108.23","-1.51%"
"Nov 20, 2007","109.97","109.77","110.58","109.48","0.17%"
"Nov 19, 2007","109.78","110.88","111.08","109.72","-1.05%"
"Nov 16, 2007","110.94","110.28","111.35","109.75","0.51%"
"Nov 15, 2007","110.38","111.21","111.71","110.19","-0.92%"
"Nov 14, 2007","111.41","110.93","111.78","110.74","0.43%"
"Nov 13, 2007","110.93","109.40","110.95","109.20","1.33%"
"Nov 12, 2007","109.47","110.26","110.80","109.10","-1.19%"
"Nov 09, 2007","110.79","112.62","112.91","110.48","-1.65%"
"Nov 08, 2007","112.65","112.77","113.40","111.99","-0.16%"
"Nov 07, 2007","112.83","114.71","114.81","112.72","-1.62%"
"Nov 06, 2007","114.69","114.48","114.81","114.24","0.19%"
"Nov 05, 2007","114.47","114.76","114.84","114.00","-0.33%"
"Nov 02, 2007","114.85","114.51","115.43","114.35","0.26%"
"Nov 01, 2007","114.55","115.28","115.94","114.45","-0.66%"
"Oct 31, 2007","115.31","114.64","115.53","114.50","0.58%"
"Oct 30, 2007","114.64","114.62","115.03","114.35","-0.06%"
"Oct 29, 2007","114.71","114.05","114.93","114.00","0.46%"
"Oct 26, 2007","114.18","114.17","114.58","113.90","-0.03%"
"Oct 25, 2007","114.21","114.13","114.59","113.75","0.05%"
"Oct 24, 2007","114.15","114.75","114.97","113.79","-0.55%"
"Oct 23, 2007","114.78","114.48","115.05","114.15","0.30%"
"Oct 22, 2007","114.44","113.94","114.66","113.23","-0.08%"
"Oct 19, 2007","114.53","115.54","115.76","114.43","-0.81%"
"Oct 18, 2007","115.47","116.60","116.70","115.26","-0.95%"
"Oct 17, 2007","116.58","116.90","117.20","116.15","-0.26%"
"Oct 16, 2007","116.88","117.39","117.48","116.42","-0.43%"
"Oct 15, 2007","117.39","117.45","117.95","117.09","-0.19%"
"Oct 12, 2007","117.61","117.36","117.71","117.12","0.28%"
"Oct 11, 2007","117.28","117.20","117.81","116.98","0.12%"
"Oct 10, 2007","117.14","117.12","117.55","116.95","-0.03%"
"Oct 09, 2007","117.18","117.35","117.46","116.78","-0.26%"
"Oct 08, 2007","117.49","117.10","117.61","116.93","0.44%"
"Oct 05, 2007","116.98","116.44","117.31","116.32","0.44%"
"Oct 04, 2007","116.47","116.70","116.78","116.25","-0.21%"
"Oct 03, 2007","116.72","115.68","116.81","115.54","0.86%"
"Oct 02, 2007","115.72","115.76","116.01","115.26","0.01%"
"Oct 01, 2007","115.71","114.75","116.07","114.70","0.78%"
"Sep 28, 2007","114.82","115.55","115.67","114.65","-0.67%"
"Sep 27, 2007","115.60","115.48","115.89","115.09","0.11%"
"Sep 26, 2007","115.47","114.64","115.75","114.51","0.61%"
"Sep 25, 2007","114.77","114.87","115.01","114.01","-0.09%"
"Sep 24, 2007","114.87","115.37","115.41","114.63","-0.54%"
"Sep 21, 2007","115.49","114.64","115.87","114.52","0.73%"
"Sep 20, 2007","114.65","115.87","116.05","113.96","-1.16%"
"Sep 19, 2007","116.00","115.88","116.35","115.63","-0.07%"
"Sep 18, 2007","116.08","115.09","116.40","114.77","0.89%"
"Sep 17, 2007","115.06","115.26","115.40","114.64","-0.27%"
"Sep 14, 2007","115.37","114.72","115.40","114.34","0.30%"
"Sep 13, 2007","115.03","114.17","115.52","114.08","0.77%"
"Sep 12, 2007","114.15","114.37","114.41","113.75","-0.11%"
"Sep 11, 2007","114.27","113.58","114.39","113.36","0.52%"
"Sep 10, 2007","113.68","112.85","114.01","112.58","0.26%"
"Sep 07, 2007","113.38","115.40","115.65","113.11","-1.75%"
"Sep 06, 2007","115.40","115.08","115.58","114.79","0.17%"
"Sep 05, 2007","115.20","116.26","116.49","114.97","-0.98%"
"Sep 04, 2007","116.34","115.92","116.45","115.31","0.39%"
"Sep 03, 2007","115.89","115.72","116.16","115.63","0.10%"
"Aug 31, 2007","115.77","115.85","116.62","115.47","-0.17%"
"Aug 30, 2007","115.97","116.18","116.22","115.19","-0.19%"
"Aug 29, 2007","116.19","114.22","116.28","113.84","1.77%"
"Aug 28, 2007","114.17","115.74","115.78","114.12","-1.37%"
"Aug 27, 2007","115.75","116.44","116.77","115.71","-0.57%"
"Aug 24, 2007","116.41","116.27","116.49","115.51","0.05%"
"Aug 23, 2007","116.35","115.35","117.16","115.33","0.88%"
"Aug 22, 2007","115.34","114.27","115.48","113.96","0.83%"
"Aug 21, 2007","114.39","114.86","115.25","114.00","-0.48%"
"Aug 20, 2007","114.94","114.36","115.53","113.65","0.51%"
"Aug 17, 2007","114.36","114.33","114.92","111.58","0.08%"
"Aug 16, 2007","114.27","116.27","116.76","111.99","-1.91%"
"Aug 15, 2007","116.50","117.55","117.66","116.47","-0.91%"
"Aug 14, 2007","117.57","118.14","118.54","117.53","-0.57%"
"Aug 13, 2007","118.24","118.27","118.57","117.66","-0.13%"
"Aug 10, 2007","118.39","118.13","118.76","117.20","0.17%"
"Aug 09, 2007","118.19","119.63","119.79","118.11","-1.23%"
