"Date","Price","Open","High","Low","Change %"
"Aug 13, 2008","1.4249","1.4434","1.4658","1.4156","-1.15%"
"Aug 12, 2008","1.4415","1.4320","1.4443","1.4249","0.67%"
"Aug 11, 2008","1.4319","1.4257","1.4338","1.4106","0.86%"
"Aug 08, 2008","1.4197","1.3996","1.4326","1.3976","1.49%"
"Aug 07, 2008","1.3988","1.3928","1.4033","1.3845","0.36%"
"Aug 06, 2008","1.3938","1.3761","1.3962","1.3744","1.29%"
"Aug 05, 2008","1.3760","1.3716","1.3857","1.3702","0.38%"
"Aug 04, 2008","1.3708","1.3717","1.3762","1.3630","-0.31%"
"Aug 01, 2008","1.3750","1.3630","1.3806","1.3617","0.87%"
"Jul 31, 2008","1.3632","1.3611","1.3681","1.3569","0.10%"
"Jul 30, 2008","1.3619","1.3514","1.3679","1.3510","0.72%"
"Jul 29, 2008","1.3522","1.3425","1.3608","1.3382","0.77%"
"Jul 28, 2008","1.3419","1.3454","1.3498","1.3401","-0.48%"
"Jul 25, 2008","1.3484","1.3450","1.3512","1.3380","0.23%"
"Jul 24, 2008","1.3453","1.3434","1.3537","1.3407","0.10%"
"Jul 23, 2008","1.3439","1.3156","1.3472","1.3144","2.06%"
"Jul 22, 2008","1.3168","1.3122","1.3208","1.3091","0.31%"
"Jul 21, 2008","1.3127","1.3134","1.3185","1.3089","0.12%"
"Jul 18, 2008","1.3111","1.3099","1.3146","1.3043","0.08%"
"Jul 17, 2008","1.3101","1.2963","1.3180","1.2925","1.07%"
"Jul 16, 2008","1.2962","1.2958","1.3019","1.2915","0.05%"
"Jul 15, 2008","1.2956","1.3087","1.3120","1.2878","-0.93%"
"Jul 14, 2008","1.3077","1.3115","1.3213","1.3067","-0.55%"
"Jul 11, 2008","1.3149","1.3179","1.3224","1.3065","-0.20%"
"Jul 10, 2008","1.3176","1.3212","1.3265","1.3123","-0.22%"
"Jul 09, 2008","1.3205","1.3282","1.3314","1.3118","-0.53%"
"Jul 08, 2008","1.3275","1.3270","1.3359","1.3250","0.00%"
"Jul 07, 2008","1.3275","1.3177","1.3333","1.3154","0.88%"
"Jul 04, 2008","1.3159","1.3215","1.3261","1.3141","-0.45%"
"Jul 03, 2008","1.3219","1.3153","1.3243","1.3120","0.52%"
"Jul 02, 2008","1.3151","1.3189","1.3222","1.3122","-0.34%"
"Jul 01, 2008","1.3196","1.3125","1.3236","1.3099","0.51%"
"Jun 30, 2008","1.3129","1.3132","1.3175","1.3040","-0.16%"
"Jun 27, 2008","1.3150","1.3231","1.3279","1.3089","-0.64%"
"Jun 26, 2008","1.3235","1.3163","1.3265","1.3149","0.52%"
"Jun 25, 2008","1.3167","1.3172","1.3260","1.3144","-0.08%"
"Jun 24, 2008","1.3178","1.3186","1.3247","1.3153","-0.09%"
"Jun 23, 2008","1.3190","1.3141","1.3232","1.3082","0.40%"
"Jun 20, 2008","1.3138","1.3123","1.3162","1.3068","0.11%"
"Jun 19, 2008","1.3123","1.3177","1.3215","1.3091","-0.39%"
"Jun 18, 2008","1.3175","1.3236","1.3275","1.3151","-0.45%"
"Jun 17, 2008","1.3235","1.3280","1.3314","1.3186","-0.39%"
"Jun 16, 2008","1.3287","1.3303","1.3359","1.3249","-0.32%"
"Jun 13, 2008","1.3329","1.3316","1.3430","1.3275","-0.04%"
"Jun 12, 2008","1.3334","1.3215","1.3368","1.3196","0.77%"
"Jun 11, 2008","1.3232","1.3291","1.3297","1.3182","-0.46%"
"Jun 10, 2008","1.3293","1.3186","1.3337","1.3142","0.80%"
"Jun 09, 2008","1.3188","1.3009","1.3203","1.2970","1.24%"
"Jun 06, 2008","1.3027","1.3043","1.3083","1.2974","-0.09%"
"Jun 05, 2008","1.3039","1.2980","1.3135","1.2970","0.49%"
"Jun 04, 2008","1.2975","1.2811","1.3003","1.2740","1.25%"
"Jun 03, 2008","1.2815","1.2726","1.2818","1.2665","0.68%"
"Jun 02, 2008","1.2729","1.2771","1.2794","1.2700","-0.34%"
"May 30, 2008","1.2772","1.2829","1.2849","1.2736","-0.46%"
"May 29, 2008","1.2831","1.2718","1.2873","1.2694","0.89%"
"May 28, 2008","1.2718","1.2665","1.2770","1.2642","0.39%"
"May 27, 2008","1.2668","1.2708","1.2729","1.2614","-0.33%"
"May 26, 2008","1.2710","1.2724","1.2776","1.2681","-0.27%"
"May 23, 2008","1.2745","1.2765","1.2783","1.2649","-0.16%"
"May 22, 2008","1.2765","1.2853","1.2886","1.2655","-0.77%"
"May 21, 2008","1.2864","1.2910","1.2944","1.2798","-0.32%"
"May 20, 2008","1.2905","1.2948","1.2963","1.2855","-0.32%"
"May 19, 2008","1.2947","1.2907","1.2983","1.2853","0.23%"
"May 16, 2008","1.2917","1.3113","1.3123","1.2903","-1.46%"
"May 15, 2008","1.3108","1.3129","1.3266","1.3074","-0.32%"
"May 14, 2008","1.3150","1.3087","1.3171","1.3070","0.44%"
"May 13, 2008","1.3093","1.2965","1.3103","1.2952","0.96%"
"May 12, 2008","1.2969","1.3024","1.3108","1.2930","-0.23%"
"May 09, 2008","1.2999","1.2945","1.3073","1.2895","0.41%"
"May 08, 2008","1.2946","1.2788","1.3003","1.2771","1.20%"
"May 07, 2008","1.2792","1.2657","1.2805","1.2617","1.10%"
"May 06, 2008","1.2653","1.2744","1.2753","1.2591","-0.60%"
"May 05, 2008","1.2730","1.2802","1.2838","1.2706","-0.80%"
"May 02, 2008","1.2833","1.2862","1.2893","1.2740","-0.21%"
"May 01, 2008","1.2860","1.2784","1.2921","1.2747","0.50%"
